# Parameter;FmiLevelId;Units;Alias1;Alias2;Alias3;
acoustic_signal_roundtrip_travel_time_in_sea_water;;1;s;;;
aerodynamic_particle_diameter;;1;m;;;
aerodynamic_resistance;;1;m-1 s;;;
age_of_sea_ice;;1;year;;;
age_of_stratospheric_air;;1;s;;;
age_of_surface_snow;;1;day;;;
aggregate_quality_flag;;1;1;;;
air_density;;1;kg m-3;;;
air_equivalent_potential_temperature;;1;K;equivalent_potential_temperature;;
air_equivalent_temperature;;1;K;equivalent_temperature;;
air_potential_temperature;;1;K;;;
air_pressure;;1;Pa;;;
air_pressure_anomaly;;1;Pa;;;
air_pressure_at_cloud_base;;1;Pa;;;
air_pressure_at_cloud_top;;1;Pa;;;
air_pressure_at_convective_cloud_base;;1;Pa;;;
air_pressure_at_convective_cloud_top;;1;Pa;;;
air_pressure_at_freezing_level;;1;Pa;;;
air_pressure_at_mean_sea_level;;1;Pa;air_pressure_at_sea_level;;
air_pressure_at_top_of_atmosphere_model;;1;Pa;pseudo_equivalent_potential_temperature;;
air_pseudo_equivalent_potential_temperature;;1;K;;;
air_pseudo_equivalent_temperature;;1;K;pseudo_equivalent_temperature;;
air_temperature;;1;K;;;
air_temperature_anomaly;;1;K;;;
air_temperature_at_cloud_top;;1;K;;;
air_temperature_at_effective_cloud_top_defined_by_infrared_radiation;;1;K;;;
air_temperature_lapse_rate;;1;K m-1;;;
air_temperature_threshold;;1;K;;;
altimeter_range;;1;m;;;
altimeter_range_correction_due_to_dry_troposphere;;1;m;;;
altimeter_range_correction_due_to_ionosphere;;1;m;;;
altimeter_range_correction_due_to_wet_troposphere;;1;m;;;
altitude;;1;m;;;
altitude_at_top_of_atmosphere_model;;1;m;;;
altitude_at_top_of_dry_convection;;1;m;;;
amplitude_of_global_average_sea_level_change;;1;m;;;
angle_of_emergence;;1;degree;;;
angle_of_incidence;;1;degree;;;
angle_of_rotation_from_east_to_x;;1;degree;;;
angle_of_rotation_from_east_to_y;;1;degree;;;
angle_of_rotation_from_solar_azimuth_to_platform_azimuth;;1;degree;;;
angstrom_exponent_of_ambient_aerosol_in_air;;1;1;aerosol_angstrom_exponent;;
apparent_air_temperature;;1;K;;;
apparent_oxygen_utilization;;1;mol kg-1;;;
area_fraction;;1;1;;;
area_fraction_below_surface;;1;1;;;
area_fraction_of_day_defined_by_solar_zenith_angle;;1;1;;;
area_fraction_of_night_defined_by_solar_zenith_angle;;1;1;;;
area_fraction_of_twilight_defined_by_solar_zenith_angle;;1;1;;;
area_type;;1;;land_cover;surface_cover;
asymmetry_factor_of_ambient_aerosol_particles;;1;1;;;
atmosphere_absorption_optical_thickness_due_to_ambient_aerosol_particles;;1;1;atmosphere_absorption_optical_thickness_due_to_ambient_aerosol;;
atmosphere_absorption_optical_thickness_due_to_black_carbon_ambient_aerosol;;1;1;;;
atmosphere_absorption_optical_thickness_due_to_dust_ambient_aerosol_particles;;1;1;atmosphere_absorption_optical_thickness_due_to_dust_ambient_aerosol;;
atmosphere_absorption_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol_particles;;1;1;atmosphere_absorption_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol;;
atmosphere_absorption_optical_thickness_due_to_sea_salt_ambient_aerosol_particles;;1;1;atmosphere_absorption_optical_thickness_due_to_seasalt_ambient_aerosol_particles;atmosphere_absorption_optical_thickness_due_to_seasalt_ambient_aerosol;
atmosphere_absorption_optical_thickness_due_to_sulfate_ambient_aerosol_particles;;1;1;atmosphere_absorption_optical_thickness_due_to_sulfate_ambient_aerosol;;
atmosphere_boundary_layer_thickness;;1;m;;;
atmosphere_convective_available_potential_energy;;1;J kg-1;atmosphere_specific_convective_available_potential_energy;specific_convective_available_potential_energy;
atmosphere_convective_available_potential_energy_wrt_surface;;1;J kg -1;;;
atmosphere_convective_inhibition;;1;J kg -1;;;
atmosphere_convective_inhibition_wrt_surface;;1;J kg -1;;;
atmosphere_downdraft_convective_mass_flux;;1;kg m-2 s-1;;;
atmosphere_dry_energy_content;;1;J m-2;;;
atmosphere_dry_static_energy_content;;1;J m-2;;;
atmosphere_eastward_stress_due_to_gravity_wave_drag;;1;Pa;;;
atmosphere_energy_content;;1;J m-2;;;
atmosphere_enthalpy_content;;1;J m-2;;;
atmosphere_heat_diffusivity;;1;m2 s-1;;;
atmosphere_horizontal_streamfunction;;1;m2 s-1;;;
atmosphere_horizontal_velocity_potential;;1;m2 s-1;;;
atmosphere_hybrid_height_coordinate;;1;m;;;
atmosphere_hybrid_sigma_pressure_coordinate;;1;1;;;
atmosphere_kinetic_energy_content;;1;J m-2;;;
atmosphere_layer_thickness_expressed_as_geopotential_height_difference;;1;m;;;
atmosphere_level_of_free_convection;;1;m;;;
atmosphere_level_of_free_convection_wrt_surface;;1;m;;;
atmosphere_lifting_condensation_level;;1;m;;;
atmosphere_lifting_condensation_level_wrt_surface;;1;m;;;
atmosphere_ln_pressure_coordinate;;1;1;;;
atmosphere_mass_content_of_acetic_acid;;1;kg m-2;;;
atmosphere_mass_content_of_aceto_nitrile;;1;kg m-2;;;
atmosphere_mass_content_of_alkanes;;1;kg m-2;;;
atmosphere_mass_content_of_alkenes;;1;kg m-2;;;
atmosphere_mass_content_of_alpha_hexachlorocyclohexane;;1;kg m-2;;;
atmosphere_mass_content_of_alpha_pinene;;1;kg m-2;;;
atmosphere_mass_content_of_ammonia;;1;kg m-2;;;
atmosphere_mass_content_of_ammonium_dry_aerosol_particles;;1;kg m-2;atmosphere_mass_content_of_ammonium_dry_aerosol;;
atmosphere_mass_content_of_anthropogenic_nmvoc_expressed_as_carbon;;1;kg m-2;;;
atmosphere_mass_content_of_aromatic_compounds;;1;kg m-2;;;
atmosphere_mass_content_of_atomic_bromine;;1;kg m-2;;;
atmosphere_mass_content_of_atomic_chlorine;;1;kg m-2;;;
atmosphere_mass_content_of_atomic_nitrogen;;1;kg m-2;;;
atmosphere_mass_content_of_benzene;;1;kg m-2;;;
atmosphere_mass_content_of_beta_pinene;;1;kg m-2;;;
atmosphere_mass_content_of_biogenic_nmvoc_expressed_as_carbon;;1;kg m-2;;;
atmosphere_mass_content_of_bromine_chloride;;1;kg m-2;;;
atmosphere_mass_content_of_bromine_monoxide;;1;kg m-2;;;
atmosphere_mass_content_of_bromine_nitrate;;1;kg m-2;;;
atmosphere_mass_content_of_brox_expressed_as_bromine;;1;kg m-2;;;
atmosphere_mass_content_of_butane;;1;kg m-2;;;
atmosphere_mass_content_of_carbon_dioxide;;1;kg m-2;;;
atmosphere_mass_content_of_carbon_monoxide;;1;kg m-2;;;
atmosphere_mass_content_of_carbon_tetrachloride;;1;kg m-2;;;
atmosphere_mass_content_of_cfc11;;1;kg m-2;;;
atmosphere_mass_content_of_cfc113;;1;kg m-2;;;
atmosphere_mass_content_of_cfc113a;;1;kg m-2;;;
atmosphere_mass_content_of_cfc114;;1;kg m-2;;;
atmosphere_mass_content_of_cfc115;;1;kg m-2;;;
atmosphere_mass_content_of_cfc12;;1;kg m-2;;;
atmosphere_mass_content_of_chlorine_dioxide;;1;kg m-2;;;
atmosphere_mass_content_of_chlorine_monoxide;;1;kg m-2;;;
atmosphere_mass_content_of_chlorine_nitrate;;1;kg m-2;;;
atmosphere_mass_content_of_cloud_condensed_water;;1;kg m-2;atmosphere_cloud_condensed_water_content;;
atmosphere_mass_content_of_cloud_ice;;1;kg m-2;atmosphere_cloud_ice_content;;
atmosphere_mass_content_of_cloud_liquid_water;;1;kg m-2;atmosphere_cloud_liquid_water_content;;
atmosphere_mass_content_of_clox_expressed_as_chlorine;;1;kg m-2;;;
atmosphere_mass_content_of_convective_cloud_condensed_water;;1;kg m-2;atmosphere_convective_cloud_condensed_water_content;;
atmosphere_mass_content_of_convective_cloud_ice;;1;kg m-2;;;
atmosphere_mass_content_of_convective_cloud_liquid_water;;1;kg m-2;atmosphere_convective_cloud_liquid_water_content;;
atmosphere_mass_content_of_dichlorine_peroxide;;1;kg m-2;;;
atmosphere_mass_content_of_dimethyl_sulfide;;1;kg m-2;;;
atmosphere_mass_content_of_dinitrogen_pentoxide;;1;kg m-2;;;
atmosphere_mass_content_of_dust_dry_aerosol_particles;;1;kg m-2;atmosphere_mass_content_of_dust_dry_aerosol;;
atmosphere_mass_content_of_elemental_carbon_dry_aerosol_particles;;1;kg m-2;atmosphere_mass_content_of_black_carbon_dry_aerosol;;
atmosphere_mass_content_of_ethane;;1;kg m-2;;;
atmosphere_mass_content_of_ethanol;;1;kg m-2;;;
atmosphere_mass_content_of_ethene;;1;kg m-2;;;
atmosphere_mass_content_of_ethyne;;1;kg m-2;;;
atmosphere_mass_content_of_formaldehyde;;1;kg m-2;;;
atmosphere_mass_content_of_formic_acid;;1;kg m-2;;;
atmosphere_mass_content_of_gaseous_divalent_mercury;;1;kg m-2;;;
atmosphere_mass_content_of_gaseous_elemental_mercury;;1;kg m-2;;;
atmosphere_mass_content_of_graupel;;1;kg m-2;;;
atmosphere_mass_content_of_graupel_and_hail;;1;kg m-2;;;
atmosphere_mass_content_of_hail;;1;kg m-2;;;
atmosphere_mass_content_of_halon1202;;1;kg m-2;;;
atmosphere_mass_content_of_halon1211;;1;kg m-2;;;
atmosphere_mass_content_of_halon1301;;1;kg m-2;;;
atmosphere_mass_content_of_halon2402;;1;kg m-2;;;
atmosphere_mass_content_of_hcc140a;;1;kg m-2;;;
atmosphere_mass_content_of_hcfc141b;;1;kg m-2;;;
atmosphere_mass_content_of_hcfc142b;;1;kg m-2;;;
atmosphere_mass_content_of_hcfc22;;1;kg m-2;;;
atmosphere_mass_content_of_hexachlorobiphenyl;;1;kg m-2;;;
atmosphere_mass_content_of_hox_expressed_as_hydrogen;;1;kg m-2;;;
atmosphere_mass_content_of_hydrogen_bromide;;1;kg m-2;;;
atmosphere_mass_content_of_hydrogen_chloride;;1;kg m-2;;;
atmosphere_mass_content_of_hydrogen_cyanide;;1;kg m-2;;;
atmosphere_mass_content_of_hydrogen_peroxide;;1;kg m-2;;;
atmosphere_mass_content_of_hydroperoxyl_radical;;1;kg m-2;;;
atmosphere_mass_content_of_hydroxyl_radical;;1;kg m-2;;;
atmosphere_mass_content_of_hypobromous_acid;;1;kg m-2;;;
atmosphere_mass_content_of_hypochlorous_acid;;1;kg m-2;;;
atmosphere_mass_content_of_inorganic_bromine;;1;kg m-2;;;
atmosphere_mass_content_of_inorganic_chlorine;;1;kg m-2;;;
atmosphere_mass_content_of_isoprene;;1;kg m-2;;;
atmosphere_mass_content_of_limonene;;1;kg m-2;;;
atmosphere_mass_content_of_liquid_precipitation;;1;kg m-2;;;
atmosphere_mass_content_of_mercury_dry_aerosol_particles;;1;kg m-2;atmosphere_mass_content_of_mercury_dry_aerosol;;
atmosphere_mass_content_of_methane;;1;kg m-2;;;
atmosphere_mass_content_of_methanol;;1;kg m-2;;;
atmosphere_mass_content_of_methyl_bromide;;1;kg m-2;;;
atmosphere_mass_content_of_methyl_chloride;;1;kg m-2;;;
atmosphere_mass_content_of_methyl_hydroperoxide;;1;kg m-2;;;
atmosphere_mass_content_of_methyl_peroxy_radical;;1;kg m-2;;;
atmosphere_mass_content_of_molecular_hydrogen;;1;kg m-2;;;
atmosphere_mass_content_of_nitrate_dry_aerosol_particles;;1;kg m-2;atmosphere_mass_content_of_nitrate_dry_aerosol;;
atmosphere_mass_content_of_nitrate_radical;;1;kg m-2;;;
atmosphere_mass_content_of_nitric_acid;;1;kg m-2;;;
atmosphere_mass_content_of_nitric_acid_trihydrate_ambient_aerosol_particles;;1;kg m-2;atmosphere_mass_content_of_nitric_acid_trihydrate_ambient_aerosol;;
atmosphere_mass_content_of_nitrogen_monoxide;;1;kg m-2;;;
atmosphere_mass_content_of_nitrous_acid;;1;kg m-2;;;
atmosphere_mass_content_of_nitrous_oxide;;1;kg m-2;;;
atmosphere_mass_content_of_nmvoc_expressed_as_carbon;;1;kg m-2;;;
atmosphere_mass_content_of_nox_expressed_as_nitrogen;;1;kg m-2;;;
atmosphere_mass_content_of_noy_expressed_as_nitrogen;;1;kg m-2;;;
atmosphere_mass_content_of_oxygenated_hydrocarbons;;1;kg m-2;;;
atmosphere_mass_content_of_ozone;;1;kg m-2;;;
atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol_particles;;1;kg m-2;atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol;;
atmosphere_mass_content_of_peroxyacetyl_nitrate;;1;kg m-2;;;
atmosphere_mass_content_of_peroxynitric_acid;;1;kg m-2;;;
atmosphere_mass_content_of_peroxy_radicals;;1;kg m-2;;;
atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol_particles;;1;kg m-2;atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol;;
atmosphere_mass_content_of_propane;;1;kg m-2;;;
atmosphere_mass_content_of_propene;;1;kg m-2;;;
atmosphere_mass_content_of_radon;;1;kg m-2;;;
atmosphere_mass_content_of_sea_salt_dry_aerosol_particles;;1;kg m-2;atmosphere_mass_content_of_seasalt_dry_aerosol_particles;atmosphere_mass_content_of_seasalt_dry_aerosol;
atmosphere_mass_content_of_sea_salt_dry_aerosol_particles_expressed_as_cations;;1;kg m-2;;;
atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol_particles;;1;kg m-2;atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol;;
atmosphere_mass_content_of_snow;;1;kg m-2;;;
atmosphere_mass_content_of_sulfate;;1;kg m-2;atmosphere_so4_content;atmosphere_sulfate_content;
atmosphere_mass_content_of_sulfate_ambient_aerosol;;1;kg m-2;atmosphere_content_of_sulfate_aerosol;;
atmosphere_mass_content_of_sulfate_dry_aerosol_particles;;1;kg m-2;atmosphere_mass_content_of_sulfate_dry_aerosol;;
atmosphere_mass_content_of_sulfate_dry_aerosol_particles_expressed_as_sulfur;;1;kg m-2;atmosphere_mass_content_of_sulfate_dry_aerosol_expressed_as_sulfur;atmosphere_mass_content_of_sulfate_expressed_as_sulfur_dry_aerosol;
atmosphere_mass_content_of_sulfur_dioxide;;1;kg m-2;;;
atmosphere_mass_content_of_terpenes;;1;kg m-2;;;
atmosphere_mass_content_of_toluene;;1;kg m-2;;;
atmosphere_mass_content_of_volcanic_ash;;1;kg m-2;;;
atmosphere_mass_content_of_water;;1;kg m-2;;;
atmosphere_mass_content_of_water_in_ambient_aerosol_particles;;1;kg m-2;atmosphere_mass_content_of_water_in_ambient_aerosol;;
atmosphere_mass_content_of_water_vapor;;1;kg m-2;atmosphere_water_vapor_content;;
atmosphere_mass_content_of_xylene;;1;kg m-2;;;
atmosphere_mass_of_air_per_unit_area;;1;kg m-2;;;
atmosphere_mass_of_carbon_dioxide;;1;kg;;;
atmosphere_mass_per_unit_area;;1;kg m-2;;;
atmosphere_mole_content_of_carbon_monoxide;;1;mol m-2;;;
atmosphere_mole_content_of_methane;;1;mol m-2;;;
atmosphere_mole_content_of_nitrogen_dioxide;;1;mol m-2;;;
atmosphere_mole_content_of_ozone;;1;mol m-2;;;
atmosphere_mole_content_of_water_vapor;;1;mol m-2;;;
atmosphere_moles_of_acetic_acid;;1;mol;;;
atmosphere_moles_of_aceto_nitrile;;1;mol;;;
atmosphere_moles_of_alpha_hexachlorocyclohexane;;1;mol;;;
atmosphere_moles_of_alpha_pinene;;1;mol;;;
atmosphere_moles_of_ammonia;;1;mol;;;
atmosphere_moles_of_anthropogenic_nmvoc_expressed_as_carbon;;1;mol;;;
atmosphere_moles_of_atomic_bromine;;1;mol;;;
atmosphere_moles_of_atomic_chlorine;;1;mol;;;
atmosphere_moles_of_atomic_nitrogen;;1;mol;;;
atmosphere_moles_of_benzene;;1;mol;;;
