NAME;Temperature (-33C..68C)
NAME;Values (-33..68)
68;FF0EF0
67;FF0DF0
66;FF0CF0
65;FF0BF0
64;FF0AF0
63;FF09F0
62;FF08F0
61;FF07F0
60;FF06F0
59;FF05F0
58;FF04F0
57;FF03F0
56;FF02F0
55;FF01F0
54;FF00F0
53;FF00E0
52;FF00D0
51;FF00C0
50;FF00B0
49;FF00A0
48;FF0090
47;FF0080
46;FF0070
45;FF0060
44;FF0050
43;FF0040
42;FF0030
41;FF0020
40;FF0010
39;FF0000
38;FF0a00
37;FF1400
36;FF1e00
35;FF2800
34;FF3200
33;FF3c00
32;FF4600
31;FF5000
30;FF5a00
29;FF6400
28;FF6e00
27;FF7800
26;FF8200
25;FF8c00
24;FF9600
23;FFa000
22;FFaa00
21;FFb400
20;FFbe00
19;FFc800
18;FFd200
17;FFdc00
16;FFe600
15;FFf000
14;FFfa00
13;fdff00
12;d7ff00
11;b0ff00
10;8aff00
9;65ff00
8;3eff00
7;17ff00
6;00ff10
5;00ff36
4;00ff5c
3;00ff83
2;00ffa8
1;00ffd0
0;00fff4
-1;00e4ff
-2;00d4ff
-3;00c4ff
-4;00b4ff
-5;00a4ff
-6;0094ff
-7;0084ff
-8;0074ff
-9;0064ff
-10;0054ff
-11;0044ff
-12;0032ff
-13;0022ff
-14;0012ff
-15;0002ff
-16;0000ff
-17;0100ff
-18;0200ff
-19;0300ff
-20;0400ff
-21;0500ff
-22;0000ff
-23;0000ef
-24;0000ef
-25;0000df
-26;0000cf
-27;0000bf
-28;0000af
-29;00009f
-30;00008f
-31;00007f
-32;00006f
-33;00005f
-1000;00004f

