NAME;Values (-42..42)
42;000000
41;0F0000
40;1F0000
39;2F0000
38;3F0000
37;4F0000
36;5F0000
35;6F0000
34;7F0000
33;8F0000
32;9F0000
31;AF0000
30;BF0000
29;CF0000
28;DF0000
27;EF0000
26;FF0000
25;FF0a00
24;FF1400
23;FF1e00
22;FF2800
21;FF3200
20;FF3c00
19;FF4600
18;FF5000
17;FF5a00
16;FF6400
15;FF6e00
14;FF7800
13;FF8200
12;FF8c00
11;FF9600
10;FFa000
9;FFaa00
8;FFb400
7;FFbe00
6;FFc800
5;FFd200
4;FFdc00
3;FFe600
2;FFf000
1;FFfa00
0;FFFF00
-1;FFfa00
-2;FFf000
-3;FFe600
-4;FFdc00
-5;FFd200
-6;FFc800
-7;FFbe00
-8;FFb400
-9;FFaa00
-10;FFa000
-11;FF9600
-12;FF8c00
-13;FF8200
-14;FF7800
-15;FF6e00
-16;FF6400
-17;FF5a00
-18;FF5000
-19;FF4600
-20;FF3c00
-21;FF3200
-22;FF2800
-23;FF1e00
-24;FF1400
-25;FF0a00
-26;FF0000
-27;EF0000
-28;DF0000
-29;CF0000
-30;BF0000
-31;AF0000
-32;9F0000
-33;8F0000
-34;7F0000
-35;6F0000
-36;5F0000
-37;4F0000
-38;3F0000
-39;2F0000
-40;1F0000
-41;0F0000
-42;000000
-1000;FF0000
