NAME;Values (0..10)
0.0;FFFFFFFF
0.1;FDFDFD
0.2;FBFBFB
0.3;F9F9F9
0.4;F7F7F7
0.5;F5F5F5
0.6;F3F3F3
0.7;F1F1F1
0.8;EFEEFF
0.9;EDEDED
1.0;EBEBEB
1.1;E9E9E9
1.2;E7E7E7
1.3;E5E5E5
1.4;E3E3E3
1.5;E1E1E1
1.6;DFDFDF
1.7;DDDDDD
1.8;DBDBDB
1.9;D9D9D9
2.0;D7D7D7
2.1;D5D5D5
2.2;D3D3D3
2.3;D1D1D1
2.4;CFCFCF
2.5;CDCDCD
2.6;CBCBCB
2.7;C9C9C9
2.8;C7C7C7
2.9;C5C5C5
3.0;C3C3C3
3.1;C1C1C1
3.2;BFBFBF
3.3;BDBDBD
3.4;BBBBBB
3.5;B9B9B9
3.6;B7B7B7
3.7;B5B5B5
3.8;B3B3B3
3.9;B1B1B1
4.0;AFAFAF
4.1;ADADAD
4.2;ABABAB
4.3;A9A9A9
4.4;A7A7A7
4.5;A5A5A5
4.6;A3A3A3
4.7;A1A1A1
4.8;9F9F9F
4.9;9D9D9D
5.0;9B9B9B
5.1;999999
5.2;979797
5.3;959595
5.4;939393
5.5;919191
5.6;8F8F8F
5.7;8D8D8D
5.8;8B8B8B
5.9;898989
6.0;878787
6.1;858585
6.2;838383
6.3;818181
6.4;7F7F7F
6.5;7D7D7D
6.6;7B7B7B
6.7;797979
6.8;777777
6.9;757575
7.0;737373
7.1;717171
7.2;6F6F6F
7.3;6D6D6D
7.4;6B6B6B
7.5;696969
7.6;676767
7.7;656565
7.8;636363
7.9;616161
8.0;5F5F5F
8.1;5D5D5D
8.2;5B5B5B
8.3;595959
8.4;575757
8.5;555555
8.6;535353
8.7;515151
8.8;4F4F4F
8.9;4D4D4D
9.0;4B4B4B
9.1;494949
9.2;474747
9.3;454545
9.4;434343
9.5;414141
9.6;3F3F3F
9.7;3D3D3D
9.8;3B3B3B
9.9;393939
10.0;373737
