NAME;Percent (0..100)
NAME;Values (0..100)
0;FFFFFF
1;FDFDFD
2;FBFBFB
3;F9F9F9
4;F7F7F7
5;F5F5F5
6;F3F3F3
7;F1F1F1
8;EFEEFF
9;EDEDED
10;EBEBEB
11;E9E9E9
12;E7E7E7
13;E5E5E5
14;E3E3E3
15;E1E1E1
16;DFDFDF
17;DDDDDD
18;DBDBDB
19;D9D9D9
20;D7D7D7
21;D5D5D5
22;D3D3D3
23;D1D1D1
24;CFCFCF
25;CDCDCD
26;CBCBCB
27;C9C9C9
28;C7C7C7
29;C5C5C5
30;C3C3C3
31;C1C1C1
32;BFBFBF
33;BDBDBD
34;BBBBBB
35;B9B9B9
36;B7B7B7
37;B5B5B5
38;B3B3B3
39;B1B1B1
40;AFAFAF
41;ADADAD
42;ABABAB
43;A9A9A9
44;A7A7A7
45;A5A5A5
46;A3A3A3
47;A1A1A1
48;9F9F9F
49;9D9D9D
50;9B9B9B
51;999999
52;979797
53;959595
54;939393
55;919191
56;8F8F8F
57;8D8D8D
58;8B8B8B
59;898989
60;878787
61;858585
62;838383
63;818181
64;7F7F7F
65;7D7D7D
66;7B7B7B
67;797979
68;777777
69;757575
70;737373
71;717171
72;6F6F6F
73;6D6D6D
74;6B6B6B
75;696969
76;676767
77;656565
78;636363
79;616161
80;5F5F5F
81;5D5D5D
82;5B5B5B
83;595959
84;575757
85;555555
86;535353
87;515151
88;4F4F4F
89;4D4D4D
90;4B4B4B
91;494949
92;474747
93;454545
94;434343
95;414141
96;3F3F3F
97;3D3D3D
98;3B3B3B
99;393939
100;373737
