NAME;Temperature (240K..341K)
NAME;Values (240..341)
341;FF0EF0
340;FF0DF0
339;FF0CF0
338;FF0BF0
337;FF0AF0
336;FF09F0
335;FF08F0
334;FF07F0
333;FF06F0
332;FF05F0
331;FF04F0
330;FF03F0
329;FF02F0
328;FF01F0
327;FF00F0
326;FF00E0
325;FF00D0
324;FF00C0
323;FF00B0
322;FF00A0
321;FF0090
320;FF0080
319;FF0070
318;FF0060
317;FF0050
316;FF0040
315;FF0030
314;FF0020
313;FF0010
312;FF0000
311;FF0a00
310;FF1400
309;FF1e00
308;FF2800
307;FF3200
306;FF3c00
305;FF4600
304;FF5000
303;FF5a00
302;FF6400
301;FF6e00
300;FF7800
299;FF8200
298;FF8c00
297;FF9600
296;FFa000
295;FFaa00
294;FFb400
293;FFbe00
292;FFc800
291;FFd200
290;FFdc00
289;FFe600
288;FFf000
287;FFfa00
286;fdff00
285;d7ff00
284;b0ff00
283;8aff00
282;65ff00
281;3eff00
280;17ff00
279;00ff10
278;00ff36
277;00ff5c
276;00ff83
275;00ffa8
274;00ffd0
273;00fff4
272;00e4ff
271;00d4ff
270;00c4ff
269;00b4ff
268;00a4ff
267;0094ff
266;0084ff
265;0074ff
264;0064ff
263;0054ff
262;0044ff
261;0032ff
260;0022ff
259;0012ff
258;0002ff
257;0000ff
256;0100ff
255;0200ff
254;0300ff
253;0400ff
252;0500ff
251;0000ff
250;0000ef
249;0000ef
248;0000df
247;0000cf
246;0000bf
245;0000af
244;00009f
243;00008f
242;00007f
241;00006f
240;00005f
0;00004f

