# This file is automatically generated by the 'radon2config' program.
#
# Do not edit this file, because all changes will be overridden.
#
# FIELDS:
# 1) FmiLevelId
# 2) FmiLevelName
# 3) Description
#
1;GROUND;Ground or water surface;
2;PRESSURE;Pressure level;
3;HYBRID;Hybrid level;
4;ALTITUDE;Altitude;
5;TOP;Top of atmosphere;
6;HEIGHT;Height above ground in meters;
7;MEANSEA;Mean sea level;
8;ENTATM;Entire atmosphere;
9;GROUND_DEPTH;Layer between two depths below land surface;
10;DEPTH;Depth below some surface;
11;PRESSURE_DELTA;Level at specified pressure difference from ground to level;
12;MAXTHETAE;Level where maximum equivalent potential temperature is found;
13;HEIGHT_LAYER;Layer between two metric heights above ground;
14;DEPTH_LAYER;Layer between two depths below land surface;
15;ISOTHERMAL;Isothermal level, temperature in 1/100 K;
16;MAX_WIND;Maximum wind level;
