# This file is automatically generated by the 'radon2config' program. It defines FMI producers used
# in the Radon database and their mappings to GRIB producers.
#
# Do not edit this file, because all changes will be overridden.
#
# FIELDS:
# 1) FmiProducerId
# 2) Type
# 3) Centre
# 4) GeneratingProcessIdentifier
# 5) FmiProducerName
# 6) FmiProducerDescription
#
4;3;251;40;MEPS;MEPS ensemble from Metcoop;
5;3;88;2;GLAMEPS;GLAMEPS;
6;3;88;4;GLAMEPSCAL;GLAMEPS calibrated fields;
10;1;233;40;MEPS_PREOP;MEPS preop experiment;
34;1;34;201;JRA55;JMA JRA-55 reanalysis;
47;1;54;47;GEM;GEM GDPS global forecast from Canada;
48;3;54;70;GEPS;GEM NAEFS Global Ensemble Prediction System;
49;1;74;49;EGRR_SEAS;UKMO global seasonal model;
50;1;74;45;EGRR;Bracknell global model;
51;1;78;160;EDZW;Offenbach global model;
53;1;7;96;KWBG;Washington global model GFS;
54;3;7;107;GEFS;Global Ensemble Forecast System (NOAA);
101;1;86;101;MESAN;FMI Meso Analysis project products;
102;1;86;102;TIESAA;FMI road condition model;
103;2;86;103;LAPS;Finnish LAPS analysis;
105;1;86;11;MTLICE;Jääeditori;
106;1;86;106;TIENHOITO;FMI road maintenance model;
107;2;86;107;LAPSFIN;Finnish LAPS analysis, large area;
109;2;86;109;LAPSSCAN;LAPS analysis for Scandinavian area;
111;1;86;111;WAM_MBE;MTL MBE-pohjainen aaltomalli;
112;1;86;112;WAM_EC;MTL EC-pohjainen aaltomalli;
114;1;86;114;OAAS_MBE;MTL MBE-pohjainen OAAS-malli;
116;1;86;116;WALK_NOIC;Jalankulkumalli, ei j??varastoa;
117;1;86;117;WALK_WIC;Jalankulkumalli, j??varasto mukana;
118;1;86;118;ECKALLAPS;Kalman filtered prognosis from EC forecasts;
119;1;86;119;FMI_PEPS;Kauhasen PEPS-yhdistelmä;
120;1;86;120;ECMOSKRIGING;ECMWF MOS Kriging gridded;
121;1;86;121;PEPSSCAN;Kauhasen PEPS-yhdistelmä;
122;1;86;122;ECMOSKRIGING_DEV;ECMWF MOS Development version, kriging gridded;
130;1;98;128;ECG_ERA;ECMWF global ERA-Interim;
131;1;98;148;ECG;ECMWF global deterministic weather model;
132;1;98;213;ECGSEF;ECMWF fine mesh marine model;
133;1;98;113;ECGSEA;ECMWF global sea model;
134;3;98;148;ECGEPS;ECMWF Ensemble Forecast System;
135;3;98;139;ECGSEASONAL;ECMWF seasonal forecast;
149;1;88;149;MYOCEAN;-;
150;1;86;150;HBM_EC;HIROMB BOOS (HBM) circulation model for Baltic Sea (ECMWF);
152;2;86;152;HELMI;Helmi jÃ€Ã€malli;
160;1;82;160;SMHIMESAN;Meso analysis from SMHI;
170;1;78;1;ICON_GLO;DWD Global Model ICON;
170;1;78;2;ICON_GLO;DWD Global Model ICON;
180;3;86;180;FMIBLEND;FMI blend of models;
181;1;86;181;SMARTMET;Smartmet editor;
182;3;86;182;BLENDW;FMI blend of models weight fields;
183;3;86;183;BLENDR;FMI blend of models raw fields;
184;3;86;184;BLENDB;FMI blend of models bias fields;
199;1;86;3;AROME;Finnish Arome;
206;1;86;206;GLAMEPSMTA;Postprocessed fields for GLAMEPS;
210;1;86;210;AROMTA;Arome postprocessed fields;
240;1;86;240;ECGMTA;ECMWF-malli, lasketut kentät;
241;1;86;241;ERAMTA;Postprocessed fields for ECMWF ERA-Interim;
242;1;86;242;ECM_PROB;Probabilities from ECMWF EPS;
243;3;86;243;ECGEPSMTA;ECMWF Ensemble Forecast System post processed fields;
250;1;86;250;GFSMTA;Postprocessed fields for GFS;
260;3;86;204;MEPSMTA;Postprocessed fields for MEPS;
261;1;86;205;MEPS_PREOPMTA;Postprocessed fields for MEPS preop;
280;1;86;201;SMARTMETMTA;Postprocessed fields for SmartMet;
500;1;88;1;OSISAF;OSI SAF satellite products;
501;2;86;110;IASIL2;IASI L2 satellite soundings;
