# This file is used in order to map units used in grib_api to "more standard units".
# In addition, this file defines preferred interpolation methods for each unit. These
# preferred interpolation methods are used in the data queries if no other interpolation 
# methods are defined.  
#
# FIELDS
# [0] Original units (found from grib_api)
# [1] Preferred units (these should be updated)
# [2] Preferred interpolation method (1=interpolated , 2=closest value)
#
0.01 m;0.01 m;1;
(0 - 1);(0 - 1);1;
~;~;1;
= {;= {;1;
-;-;1;
;;1;
?;?;1;
???;???;1;
%;%;1;
(10**-6 g) m**-3;(10**-6 g) m**-3;1;
10-7 s-2;10-7 s-2;1;
1;1;1;
1/kg2/s;1/kg2/s;1;
1/km;1/km;1;
1-m;1-m;1;
1/m;1/m;1;
1/m/sr;1/m/sr;1;
1/s;1/s;1;
(-1 to 1);(-1 to 1);1;
amount;amount;2;
Bq m-2;Bq m-2;1;
Bq m**-2;Bq m**-2;1;
Bq m-3;Bq m-3;1;
Bq m**-3;Bq m**-3;1;
Bq s m-3;Bq s m-3;1;
Bq s m**-3;Bq s m**-3;1;
categorical;categorical;2;
category;category;2;
C;C;1;
CCITTIA5;CCITTIA5;2;
cm;cm;1;
cm per day;cm per day;1;
cm/s;cm/s;1;
code;code;2;
Code;Code;2;
code table (4.201);code table (4.201);2;
code table (4.202);code table (4.202);2;
code table (4.203);code table (4.203);2;
code table (4.204);code table (4.204);2;
code table (4.205);code table (4.205);2;
code table (4.206);code table (4.206);2;
code table (4.207);code table (4.207);2;
code table (4.208);code table (4.208);2;
code table (4.209);code table (4.209);2;
code table (4.210);code table (4.210);2;
code table (4.211);code table (4.211);2;
code table (4.212);code table (4.212);2;
(code table 4.215);(code table 4.215);2;
(code table 4.216);(code table 4.216);2;
Code table 4.217;Code table 4.217;2;
Code table 4.218;Code table 4.218;2;
Code table 4.219;Code table 4.219;2;
(Code table 4.222);(Code table 4.222);2;
Code table 4.223;Code table 4.223;2;
code table (4.2 );code table (4.2 );2;
code table (4.2;code table (4.2;2;
code table (4.2);code table (4.2);2;
Code table 4.2;Code table 4.2;2;
count;count;2;
day;day;2;
dB;dB;1;
dBz ?;dBz ?;1;
DBZ_MAX;DBZ_MAX;1;
deg C;deg C;1;
Deg C;Deg C;1;
deg C per time step;deg C per time step;2;
deg;deg;1;
deg E;deg E;2;
deg N;deg N;2;
Degree;Degree;1;
Degree E;Degree E;2;
Degree N;Degree N;2;
degreeperday;degreeperday;2;
degrees C;degrees C;1;
degrees;degrees;1;
degree true;degree true;2;
Degree true;Degree true;2;
deg. true;deg. true;2;
Deg true;Deg true;2;
Deg. true;Deg. true;2;
dimensionless;dimensionless;2;
Dobson;Dobson;1;
DU;DU;1;
fraction;fraction;2;
Fraction;Fraction;2;
gpm;gpm;1;
Gpm;Gpm;1;
hft;hft;1;
h;h;1;
hPa;hPa;1;
index;index;1;
Index;Index;1;
Integer(0-13);Integer(0-13);2;
Integer;Integer;2;
J;J;1;
J kg-1;J kg-1;1;
J kg**-1;J kg**-1;1;
J kg**-1 s**-1;J kg**-1 s**-1;1;
J/kg;J/kg;1;
J m**-1 s**-1;J m**-1 s**-1;1;
J m-2;J m-2;1;
J m**-2;J m**-2;1;
Jm-2;Jm-2;1;
J m**-2 K**-1;J m**-2 K**-1;1;
Joule;Joule;1;
K**2;K**2;1;
K2 m-2 s-1;K2 m-2 s-1;1;
kA;kA;1;
kg-1;kg-1;1;
kg**2 m**-4;kg**2 m**-4;1;
kg2 m-4;kg2 m-4;1;
kg-2 s-1;kg-2 s-1;1;
kg**-2 s**-1;kg**-2 s**-1;1;
kg C m**-2 s**-1;kg C m**-2 s**-1;1;
kg kg-1;kg kg-1;1;
kg kg**-1;kg kg**-1;1;
kg kg-1m-3;kg kg-1m-3;1;
kg kg-1 s-1;kg kg-1 s-1;1;
kg kg**-1 s**-1;kg kg**-1 s**-1;1;
kg/kg;kg/kg;1;
kg (kg s**-1)**-1;kg (kg s**-1)**-1;1;
kg/kg/s;kg/kg/s;1;
kg m-1;kg m-1;1;
kg m**-1;kg m**-1;1;
kg m**-1 s**-1;kg m**-1 s**-1;1;
kg m-2;kg m-2;1;
kg m**-2;kg m**-2;1;
kg m2;kg m2;1;
kg/m2;kg/m2;1;
kg (m**2 s-1)**-1;kg (m**2 s-1)**-1;1;
kg (m**2 s**-1)**-1;kg (m**2 s**-1)**-1;1;
kg m-2 s-1;kg m-2 s-1;1;
kg m**-2 s**-1;kg m**-2 s**-1;1;
kg m**-2 s;kg m**-2 s;1;
kg/m2/s;kg/m2/s;1;
kg m**-3 -1000;kg m**-3 -1000;1;
kg m-3;kg m-3;1;
kg m**-3;kg m**-3;1;
kg/m3;kg/m3;1;
kg/m;kg/m;1;
kg s**-1 m**-2;kg s**-1 m**-2;1;
kg s**2 m**-5;kg s**2 m**-5;1;
K;K;1;
K kg m**-2;K kg m**-2;1;
K m-1;K m-1;1;
K m**-1;K m**-1;1;
K m**2 kg**-1 s**-1;K m**2 kg**-1 s**-1;1;
K m2 kg-1 s-1;K m2 kg-1 s-1;1;
K*m2 / kg / s;K*m2 / kg / s;1;
K*m2/kg/s;K*m2/kg/s;1;
km2;km2;1;
K m**2 s**-2;K m**2 s**-2;1;
Km kg-1 s-1;Km kg-1 s-1;1;
K/m;K/m;1;
K m s**-1;K m s**-1;1;
K*ms-1;K*ms-1;1;
K Pa s**-1;K Pa s**-1;1;
K s-1;K s-1;1;
K s**-1;K s**-1;1;
ln(kPa);ln(kPa);1;
log10((10**-6g) m**-3);log10((10**-6g) m**-3);1;
log10(kg m**-3);log10(kg m**-3);1;
m**-1;m**-1;1;
m2/3 s-1;m2/3 s-1;1;
m**2 kg**-1 s**-1;m**2 kg**-1 s**-1;1;
m2 kg-1 s-1;m2 kg-1 s-1;1;
m**2 K s**-2;m**2 K s**-2;1;
m**2;m**2;1;
m2;m2;1;
m**2 m**-2;m**2 m**-2;1;
m**2 Pa s**-3;m**2 Pa s**-3;1;
m**2 s**-1;m**2 s**-1;1;
m2 s-1;m2 s-1;1;
m-2/s-2;m-2/s-2;1;
m**2 s**-2;m**2 s**-2;1;
m**2s**-2;m**2s**-2;1;
m2 s-2;m2 s-2;1;
m2/s2;m2/s2;1;
m**2 s**-3;m**2 s**-3;1;
m2 s-3;m2 s-3;1;
m2/s;m2/s;1;
m**2 s radian**-1;m**2 s radian**-1;1;
m**3 kg**-1 s**-1;m**3 kg**-1 s**-1;1;
m3 kg-1 s-1;m3 kg-1 s-1;1;
m-3;m-3;1;
m**3;m**3;1;
m**3 m**-3;m**3 m**-3;1;
m3 m-3;m3 m-3;1;
m3/m3;m3/m3;1;
m**3 s**-1 m**-1;m**3 s**-1 m**-1;1;
m**3 s**-1;m**3 s**-1;1;
m**3 s**-3;m**3 s**-3;1;
m3/s;m3/s;1;
m**4 s**-4;m**4 s**-4;1;
m above sea level;m above sea level;1;
mg S/m**2;mg S/m**2;1;
Millimetres*100 + number of stations;Millimetres*100 + number of stations;2;
min;min;1;
Missing;Missing;2;
m kg-1 s-1;m kg-1 s-1;1;
m;m;1;
mm**6 m**-3;mm**6 m**-3;1;
mm6/m3;mm6/m3;1;
mm;mm;1;
m of water equivalent;m of water equivalent;1;
m of water equivalent s**-1;m of water equivalent s**-1;1;
m Pa s**-2;m Pa s**-2;1;
m s**-1 deg C;m s**-1 deg C;1;
m s**-1 degC;m s**-1 degC;1;
m s**-1 K;m s**-1 K;1;
m s-1;m s-1;1;
m s*-1;m s*-1;1;
m s**-1;m s**-1;1;
ms-1;ms-1;1;
ms*-1;ms*-1;1;
m s**-1 per time step;m s**-1 per time step;1;
m s**-2;m s**-2;1;
ms-2;ms-2;1;
m/s;m/s;1;
M/S;M/S;1;
mW/m2;mW/m2;1;
N m-2;N m-2;1;
N m**-2;N m**-2;1;
N/m2;N/m2;1;
N m**-2 s**-1;N m**-2 s**-1;1;
N m**-2 s;N m**-2 s;1;
N m**-3;N m**-3;1;
