#################################################################################
#
# This file is used for mapping newbase identifiers to FMI identifiers. Notice
# that this file is created for special purposes. It assumes that each Newbase
# parameter name have exactly same FMI parameter name. This means that we can
# do mappings without any unit conversions.
#
# Add the name of this file into the "grid-files.conf" file so that the programs 
# can find it.
#
# FIELDS:
# 1) FmiParameterId/FmiParameterName
# 2) NewbaseParameterId/NewbaseParameterName
# 3) ConversionFunction
# 4) ReverseConversionFunction
#
#################################################################################

Pressure;Pressure;;;
GeopHeight;GeopHeight;;;
GeomHeight;GeomHeight;;;
Temperature;Temperature;;;
MaximumTemperature;MaximumTemperature;;;
MinimumTemperature;MinimumTemperature;;;
TemperatureAnomaly;TemperatureAnomaly;;;
PotentialTemperature;PotentialTemperature;;;
PseudoAdiabaticPotentialTemperature;PseudoAdiabaticPotentialTemperature;;;
DewPoint;DewPoint;;;
DewPointDeficit;DewPointDeficit;;;
SpecificHumidity;SpecificHumidity;;;
Humidity;Humidity;;;
MixingRatio;MixingRatio;;;
StabilityIndex;StabilityIndex;;;
SaturationDeficit;SaturationDeficit;;;
TopoGraf;TopoGraf;;;
TotalWindMS;TotalWindMS;;;
WindDirection;WindDirection;;;
WindSpeedMS;WindSpeedMS;;;
WindVectorMS;WindVectorMS;;;
WindUMS;WindUMS;;;
WindVMS;WindVMS;;;
WindGustU;WindGustU;;;
WindGustV;WindGustV;;;
HeightMinus20C;HeightMinus20C;;;
StreamFunction;StreamFunction;;;
VorticityRelative;VorticityRelative;;;
VorticityAbsolute;VorticityAbsolute;;;
VorticityAdvectionRelative;VorticityAdvectionRelative;;;
VorticityAdvectionAbsolute;VorticityAdvectionAbsolute;;;
VelocityDivergenceHoriz;VelocityDivergenceHoriz;;;
MoistureDivergenceHoriz;MoistureDivergenceHoriz;;;
VorticityGeostrophic;VorticityGeostrophic;;;
VorticityAdvectionGeostr;VorticityAdvectionGeostr;;;
VelocityPotential;VelocityPotential;;;
VerticalVelocityCBS;VerticalVelocityCBS;;;
VerticalVelocityCB12H;VerticalVelocityCB12H;;;
VerticalVelocityHPAH;VerticalVelocityHPAH;;;
VerticalVelocityMMS;VerticalVelocityMMS;;;
WindShearMS;WindShearMS;;;
WindShearKT;WindShearKT;;;
LapseRate;LapseRate;;;
PrecipitableWater;PrecipitableWater;;;
PrecipitationConv;PrecipitationConv;;;
PrecipitationRate;PrecipitationRate;;;
PrecipitationAmount;PrecipitationAmount;;;
SnowDepth;SnowDepth;;;
RadiationOutLW;RadiationOutLW;;;
RadiationOutSW;RadiationOutSW;;;
RadiationInSW;RadiationInSW;;;
PrecipitationLarge;PrecipitationLarge;;;
PrecipitationType;PrecipitationType;;;
PrecipitationForm;PrecipitationForm;;;
GolfIndex;GolfIndex;;;
CAPE;CAPE;;;
SeaLevel;SeaLevel;;;
TemperatureSea;TemperatureSea;;;
Salinity;Salinity;;;
Density;Density;;;
SeaLevelMinimum;SeaLevelMinimum;;;
SeaLevelMaximum;SeaLevelMaximum;;;
CIN;CIN;;;
Helicity;Helicity;;;
LCL;LCL;;;
LNB;LNB;;;
TotalCloudCover;TotalCloudCover;;;
KIndex;KIndex;;;
RoadT1Derivative;RoadT1Derivative;;;
RoadT2Derivative;RoadT2Derivative;;;
FreezingPoint1;FreezingPoint1;;;
