# This file is automatically generated by the 'radon2config' program.
#
# Do not edit this file, because all changes will be overridden.
#
# FIELDS:
# 1) FmiLevelId
# 2) FmiLevelName
# 3) FmiLevelRelationship
#      0 Undefined
#      1 Linear
#      2 Logarithmic
#      3 Number
# 4) Description
# 5) Units
#
1;GROUND;1;Ground or water surface;
2;PRESSURE;2;Pressure level;Pa
3;HYBRID;3;Hybrid level;
4;ALTITUDE;1;Altitude above mean sea level;m
5;TOP;1;Top of atmosphere;
6;HEIGHT;1;Height above ground in meters;m
7;MEANSEA;1;Mean sea level;
8;ENTATM;1;Entire atmosphere;
9;GROUND_DEPTH;1;Layer between two depths below land surface;cm
10;DEPTH;1;Depth below some surface;
11;PRESSURE_DELTA;1;Level at specified pressure difference from ground to level;Pa
12;MAXTHETAE;1;Level where maximum equivalent potential temperature is found;
13;HEIGHT_LAYER;1;Layer between two metric heights above ground;m
14;DEPTH_LAYER;1;DEPRECATED;cm
15;ISOTHERMAL;1;Isothermal level;K-2
16;MAXWIND;1;Maximum wind level;
17;HEIGHT_MSL;1;DEPRECATED;m
18;GENERAL;1;Generalized vertical height coordinate;
19;MIXING_LAYER;1;Mixing layer;
20;TROPOPAUSE;1;Tropopause;
