# This file is automatically generated by the 'radon2config' program. It defines FMI producers used
# in the Radon database and their mappings to GRIB producers.
#
# Do not edit this file, because all changes will be overridden.
#
# FIELDS:
# 1) FmiProducerId
# 2) Type
# 3) Centre
# 4) GeneratingProcessIdentifier
# 5) FmiProducerName
# 6) FmiProducerDescription
#
4;3;251;0;MEPS;MEPS ensemble from Metcoop;
5;3;251;20;MEPSCALIB;MEPS calibrated ensemble;
7;1;251;10;MNWC;MEPS Nowcasting;
8;1;251;11;MNWC_PREOP;MEPS Nowcasting Preop;
10;3;251;1;MEPS_PREOP;MEPS Preop;
16;2;86;16;WASP;WASP analysis;
47;1;54;47;GEM;GEM GDPS global forecast;
48;3;54;70;GEPS;GEM NAEFS Global Ensemble Prediction System;
49;1;;;EGRR_SEAS;UKMO global seasonal model;
52;1;;;ENFUSER;FMI Air Quality fusion model;
53;1;7;96;KWBG;Global Forecast System (GFS);
54;3;7;107;GEFS;Global Ensemble Forecast System (GEFS);
55;1;7;2;KWBG_UV;Global UV model NOAA;
101;1;86;101;MESAN;FMI Meso Analysis project products;
102;1;86;102;TIESAA;FMI road condition model;
104;2;255;104;LUKE;Luonnonvarakeskus;
105;1;86;11;MTLICE;Baltic Ice Chart;
106;1;86;106;TIENHOITO;FMI road maintenance model;
107;2;86;107;LAPSFIN;LAPS analysis (Finland);
109;2;86;109;LAPSSCAN;LAPS analysis (Scandinavia);
110;1;;;PPN;FMI Probabilistic Precipitation Nowcasting;
112;1;86;112;WAM_EC;FMI WAM wave model;
113;1;;;WAM_BALMFC;FMI WAM BALMFC wave model for Baltic Sea;
115;1;;;DIW;De-Icing Weather Index;
118;1;86;118;ECKALLAPS;Kalman filtered prognosis from EC forecasts;
119;1;86;119;FMI_PEPS;Kauhasen PEPS-yhdistelmä;
120;1;86;120;ECMOSKRIGING;ECMWF MOS Kriging gridded;
121;1;86;121;PEPSSCAN;PEPS multi-model ensemble (Scandinavia);
122;1;86;122;ECMOSKRIGING_DEV;ECMWF MOS development version;
125;1;86;125;PANGUWEATHER;PanguWeather global AI model;
126;1;;;FROST;Frost probability;
131;1;98;154;ECG;ECMWF global deterministic weather model;
132;1;98;215;ECGSEF;ECMWF fine mesh marine model;
133;1;98;119;ECGSEA;ECMWF global sea model;
134;3;98;154;ECGEPS;ECMWF Ensemble Forecast System;
135;3;98;139;ECGSEASONAL;ECMWF seasonal forecast;
135;3;98;147;ECGSEASONAL;ECMWF seasonal forecast;
137;1;98;147;ECGSEASMEAN;ECMWF seasonal forecast mean values;
147;1;;;NEMO;FMI NEMO Ocean Model;
148;1;;;COPERNICUS;Copernicus Marine Products;
149;1;88;149;MYOCEAN;Copernicus NEMO Ocean model;
152;2;86;152;HELMI;Helmi Ice Model;
153;1;;;WAM_HKI;FMI WAM Helsinki wave model;
154;1;;;WAM_BALMFC_ARCH;FMI WAM BALMFC wave model for archipelago;
160;1;82;160;SMHIMESAN;Meso analysis from SMHI;
161;1;;;ROADMODEL;Gridded road model from ASI;
170;1;78;1;ICON_GLO;DWD ICON (Icosahedral Nonhydrostatic) Model;
170;1;78;2;ICON_GLO;DWD ICON (Icosahedral Nonhydrostatic) Model;
180;3;86;180;FMIBLEND;FMI blend of models;
181;1;86;181;SMARTMET;Smartmet editor;
182;3;86;182;BLENDW;FMI blend of models weight (MAE) fields;
183;3;86;183;BLENDR;FMI blend of models raw fields;
184;3;86;184;BLENDB;FMI blend of models bias fields;
189;2;88;189;METAN;METNO Scandinavia analysis;
190;1;86;190;FMIICING;FMI icing model;
199;1;86;3;AROME;Finnish Arome;
210;1;86;210;AROMTA;Arome postprocessed fields;
220;1;86;220;ICONMTA;ICON postprocessed fields;
240;1;86;240;ECGMTA;ECMWF postprocessed fields;
241;1;86;241;ERA5MTA;ECMWF ERA5 postprocessed fields;
242;1;86;242;ECM_PROB;Probabilities from ECMWF EPS;
243;3;86;243;ECGEPSMTA;ECMWF EPS postprocessed fields;
244;3;86;244;ECGEPSCALIB;ECMWF EPS calibrated fields;
250;1;86;250;GFSMTA;GFS postprocessed fields;
260;3;86;204;MEPSMTA;MEPS postprocessed fields;
261;3;86;205;MEPS_PREOPMTA;MEPS Preop postprocessed fields;
262;3;;;MEPSCALIBMTA;Calibrated MEPS postprocessed fields;
263;1;86;214;MEPS_ML;MEPS machine learning corrected fields;
264;1;86;215;MEPS_ML_PREOP;MEPS preop machine learning corrected fields;
270;1;86;207;MNWCMTA;MNWC postprocessed fields;
271;1;86;208;MNWCMTADEV;MNWC postprocessed fields (preop);
272;1;86;209;MNWC_PREOPMTA;MNWC Preop postprocessed fields;
280;1;86;201;SMARTMETMTA;SmartMet postprocessed fields;
281;1;86;202;SMARTMETNWC;SmartMet Nowcasting;
282;1;86;203;SMARTMETNWCDEV;SmartMet Nowcasting Preop;
283;1;86;212;HRNWC;High Resolution Nowcast;
284;1;86;213;HRNWC_PREOP;High Resolution Nowcast Preop;
285;1;86;216;VIRE;Official 10 day forecast;
286;1;86;217;VIRENWC;Official 10 day forecast, nowcasting part;
287;1;86;218;VIRE_PREOP;Official 10 day forecast, preoperational;
288;1;86;219;VIRENWC_PREOP;Official 10 day forecast, nowcasting part, preoperational;
290;1;86;251;CLOUDCAST;Cloudcast NWC;
291;1;86;252;CLOUDCAST_PREOP;Cloudcast NWC Preop;
301;1;;;SILAM_AQ;FMI Silam airquality model;
500;1;88;1;OSISAF;OSI SAF satellite products;
501;2;86;110;IASIL2;IASI L2 satellite soundings;
502;2;86;150;NWCSAF;NWCSAF satellite products;
503;2;;;NWCSAFMTA;NWCSAF post processed products;
504;2;;;NWCSAF_POLAR;NWCSAF polar orbiting satellite products;
505;2;;;NWCSAFMTA_POLAR;NWCSAF polar orbiting satellite post processed products;
506;2;;;LSASAF;LSASAF satellite products;
510;2;;;OPERA;Opera radar network;
520;2;;;VIEWFINDER;Viewfinder digital elevation map;
521;2;;;GLOBCOVER;Global land cover map;
1016;6;;;WATLEV;Water level data from FIMR;
2026;1;;;ECMOS;MOS from ECMWF model;
2027;1;;;ECMWF_LS_KALMAN;ECMWF forecast post-processed with Kalman and landscape interpolation;
2028;1;;;ECMOS2;MOS Preop from ECMWF model;
2156;1;;;OASECM;Water level forecast OAAS-ECMWF;
2158;1;;;WETECM;Water level forecast Wetehinen-ECMWF;
2161;1;;;OASECRAW;Water level forecast OAAS-EC Raw fields;
2164;1;;;OASECKALMAN;OAAS EC forecast with Kalman filter;
2167;3;;;HANSENS;Water level forecast Hansen in ensemble mode, ECMWF source data;
2168;1;;;HANSMTA;Water level forecast Hansens post processed data;
